13 Seasons,1 Club,7 Leagues,,147.9,109,269,104,38.7,5.12,1.98,0.11,0.28,22.8,11,16,21,9.4,4.7,0.11,+0.6,+0.3,
Friendlies (M) (7 Seasons),,,12.7,11,,,,,,,,,,0,1,,,,,,
WCQ (5 Seasons),,,44.1,36,51,20,39.2,5.67,2.22,0.08,0.20,,,4,6,,,,,,
UEFA Euro (5 Seasons),,,23.9,14,57,15,26.3,5.21,1.37,0.09,0.33,20.0,3,3,4,4.9,2.5,0.21,+0.1,-0.5,
FIFA World Cup (5 Seasons),,,19.6,8,29,8,27.6,4.02,1.11,0.10,0.38,23.9,8,3,4,4.6,2.2,0.08,+0.4,+0.8,
UEFA Euro Qualifying (4 Seasons),,,33.4,31,91,43,47.3,6.94,3.28,0.13,0.28,,,5,5,,,,,,
UEFA Nations League (3 Seasons),,,10.2,7,24,10,41.7,2.92,1.22,0.17,0.40,,,0,0,,,,,,
FIFA Confederations Cup (1 Season),,,4.1,2,17,8,47.1,4.18,1.97,0.06,0.13,,,1,1,,,,,,
